playerID,yearID,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
anderti01,2017,vs RH Starter,103,102,411,396,49,99,17,3,9,33,10,0,11,114,.250,.271,.376,.648,149,9,1,2,1,0,5,.328,92,72
anderti01,2017,vs LH Starter,43,43,195,191,23,52,9,1,8,23,5,1,2,48,.272,.287,.455,.743,87,4,2,0,0,0,4,.326,117,96
anderti01,2018,vs RHP,145,,440,411,54,92,19,3,13,47,24,4,22,114,.224,.269,.380,.649,156,10,4,2,1,1,8,.277,89,77
anderti01,2018,vs LHP,74,,166,156,23,44,9,0,7,17,2,4,8,35,.282,.313,.474,.788,74,5,0,0,2,1,0,.319,128,116
anderti01,2018,vs RHP as RHB,145,,440,411,,92,19,3,13,47,0,0,22,114,.224,.269,.380,.649,156,10,4,2,1,1,8,.277,89,81
anderti01,2018,vs LHP as RHB,74,,166,156,,44,9,0,7,17,0,0,8,35,.282,.313,.474,.788,74,5,0,0,2,1,0,.319,128,111
anderti01,2018,vs RH Starter,114,112,434,404,48,91,20,3,10,46,22,5,22,109,.225,.271,.364,.635,147,11,4,2,2,2,8,.282,86,74
anderti01,2018,vs LH Starter,39,39,172,163,29,45,8,0,10,18,4,3,8,40,.276,.308,.509,.817,83,4,0,0,1,0,0,.307,135,123
anderti01,2019,vs RHP,119,,367,354,53,120,23,0,13,39,13,4,9,81,.339,.360,.514,.874,182,12,3,0,1,0,1,.410,102,131
anderti01,2019,vs LHP,60,,151,144,28,47,9,0,5,17,4,1,6,28,.326,.351,.493,.844,71,0,0,0,1,0,2,.375,95,119
anderti01,2019,vs RHP as RHB,119,,367,354,,120,23,0,13,39,0,0,9,81,.339,.360,.514,.874,182,12,3,0,1,0,1,.410,102,137
anderti01,2019,vs LHP as RHB,60,,151,144,,47,9,0,5,17,0,0,6,28,.326,.351,.493,.844,71,0,0,0,1,0,2,.375,95,114
anderti01,2019,vs RH Starter,82,81,329,319,48,108,21,0,10,35,12,4,6,65,.339,.356,.498,.854,159,8,3,0,1,0,1,.400,98,125
anderti01,2019,vs LH Starter,41,41,189,179,33,59,11,0,8,21,5,1,9,44,.330,.360,.525,.885,94,4,0,0,1,0,2,.398,104,131
andruel01,2015,vs RHP,147,,431,386,41,94,20,2,2,38,21,8,30,53,.244,.296,.321,.618,124,12,2,6,7,0,8,.272,86,73
andruel01,2015,vs LHP,92,,230,210,28,60,14,0,5,24,4,1,16,25,.286,.333,.424,.757,89,2,0,2,2,1,3,.302,127,111
andruel01,2015,vs RHP as RHB,147,,431,386,,94,20,2,2,38,0,0,30,53,.244,.296,.321,.618,124,12,2,6,7,0,8,.272,86,78
andruel01,2015,vs LHP as RHB,92,,230,210,,60,14,0,5,24,0,0,16,25,.286,.333,.424,.757,89,2,0,2,2,1,3,.302,127,105
andruel01,2015,vs RH Starter,95,95,384,343,38,90,17,2,3,34,20,8,27,45,.262,.315,.350,.665,120,11,2,6,6,0,7,.289,100,86
andruel01,2015,vs LH Starter,65,64,277,253,31,64,17,0,4,28,5,1,19,33,.253,.302,.368,.669,93,3,0,2,3,1,4,.274,101,87
andruel01,2016,vs RHP,141,,439,391,55,113,24,5,6,50,20,7,36,53,.289,.349,.422,.771,165,15,3,4,5,0,9,.318,93,109
andruel01,2016,vs LHP,62,,129,115,20,40,7,2,2,19,4,1,11,17,.348,.403,.496,.899,57,3,1,0,2,2,1,.388,124,145
andruel01,2016,vs RHP as RHB,141,,439,391,,113,24,5,6,50,0,0,36,53,.289,.349,.422,.771,165,15,3,4,5,0,9,.318,93,114
andruel01,2016,vs LHP as RHB,62,,129,115,,40,7,2,2,19,0,0,11,17,.348,.403,.496,.899,57,3,1,0,2,2,1,.388,124,137
andruel01,2016,vs RH Starter,109,108,417,372,53,110,22,4,6,46,20,6,34,51,.296,.358,.425,.783,158,14,4,4,3,0,10,.327,96,113
andruel01,2016,vs LH Starter,38,38,151,134,22,43,9,3,2,23,4,2,13,19,.321,.371,.478,.848,64,4,0,0,4,2,0,.350,111,130
andruel01,2017,vs RHP,155,,534,500,78,149,35,4,13,67,24,6,28,79,.298,.336,.462,.798,231,14,2,1,3,0,5,.331,98,112
andruel01,2017,vs LHP,74,,155,143,22,42,9,0,7,21,1,4,10,22,.294,.342,.503,.845,72,4,1,0,1,0,2,.304,108,125
andruel01,2017,vs RHP as RHB,155,,534,500,,149,35,4,13,67,0,0,28,79,.298,.336,.462,.798,231,14,2,1,3,0,5,.331,98,117
